ID,Nom,Prenom,Age,Departement,Ville,Date_Embauche,Salaire,Prime,Teletravail,Performance_Score,Projet,Remise,Client_ID,Produit,Heures_Semaine,Feedback_Score,Type_Contrat,Manager,Categorie_Travail,Bonus_Annuel,Ventes_Mois01,Ventes_Mois02,Ventes_Mois03,Ventes_Mois04,Ventes_Mois05,Ventes_Mois06,Ventes_Mois07,Ventes_Mois08,Ventes_Mois09,Ventes_Mois10,Ventes_Mois11,Ventes_Mois12,CA,Salaire_Annuel,Salaire_Total,Ratio_CA_Salaire,Anciennete,Score_Pondere,Indice_Performance_Normalise,Ratio_Age_Anciennete,Categorie_Age,Performance_Level,Top_Performers,CLV,Score_Efficacite_20,Remise_Categorie,CA_Total_Produit
1,Griffin,Stephanie,54,Ventes,Matthewshire,2006-10-26,8725,4408,Oui,94,Projet C,0.13,2975,Produit Z,42,3,CDI,James Robbins,Avancé,1759,71186,33311,29284,6483,9721,73608,24112,13455,73772,59977,60856,19787,413730.24,104700,110867,3.73,19,666.49,0.23,2.84,Expert,Medium,False,413730.24,1.79,Avec Remise,1286715697.35
2,Johnson,Annette,40,Finance,North Derrick,2007-04-04,10860,862,Oui,91,Projet C,0.15,2356,Produit W,37,4,Freelance,Teresa Jackson,Standard,9019,70816,27187,18318,74980,91023,82071,50124,97556,68748,43572,86707,12814,615328.6,130320,140201,4.39,18,718.9,0.17,2.22,Senior 1,Medium,False,1935930.75,3.26,Avec Remise,1292981428.48
3,Gonzalez,Glenn,25,Ventes,Port Victoria,2017-06-21,10428,1414,Oui,93,Projet A,0.17,4923,Produit W,34,3,CDI,Amy Johnson,Standard,1042,94122,73185,13863,60769,47774,64405,36297,41867,32460,32544,2932,58467,463708.55,125136,127592,3.63,8,270.39,0.08,3.12,Jeune professionnel,Medium,False,2125468.1,1.01,Avec Remise,1292981428.48
4,Hudson,Austin,58,Marketing,New Christopher,2024-07-06,7552,4736,Oui,91,Projet B,0.06,1627,Produit Z,37,2,CDI,Brittany Garcia,Avancé,444,36844,64300,92559,71124,9486,7219,98175,25035,17459,96316,56947,63084,600235.12,90624,95804,6.27,1,57.01,0.01,58.0,Pré-retraire,Low,False,1757581.46,0.25,Avec Remise,1286715697.35
5,Wilson,Connor,60,Ventes,Meyerchester,2006-06-13,6998,4730,Non,80,Projet D,0.0,3434,Produit X,37,2,CDI,Michelle Cardenas,Standard,4308,94409,30065,2715,17372,49075,52794,33403,67085,58318,40778,21590,96632,564236.0,83976,93014,6.07,19,922.05,0.24,3.16,Retraité / Consultant,High,True,1692148.21,3.84,Sans Remise,1275523122.61
6,Harvey,Paul,42,Marketing,Alexanderfurt,2013-01-03,8232,4953,Oui,82,Projet D,0.11,2712,Produit W,36,1,CDD,Carl Smith,Standard,9317,18908,74803,64953,20812,51415,37455,76977,75631,37158,68905,87254,26418,570213.21,98784,113054,5.04,12,496.3,0.13,3.5,Senior 1,Medium,False,1752086.85,2.14,Avec Remise,1292981428.48
7,Orozco,Jason,45,Marketing,Lucerochester,2022-05-16,2254,1640,Non,86,Projet C,0.27,4117,Produit Y,40,4,CDD,Lisa Clark,Expert,6325,54430,41327,37884,46681,77455,6379,1606,91275,77639,76330,88451,2764,439621.33,27048,35013,12.56,3,323.94,0.11,15.0,Senior 2,Medium,False,1488995.41,0.97,Avec Remise,1285481295.4
8,Johnson,Lisa,49,IT,Alexanderville,2009-09-04,7653,4860,Non,80,Projet D,0.05,1060,Produit W,34,5,Freelance,Eric Clark,Expert,4238,30667,369,92986,67122,99475,91142,72391,59946,97485,42023,58993,44886,719610.75,91836,100934,7.13,16,912.58,0.18,3.06,Senior 2,Medium,False,2946576.4,5.27,Avec Remise,1292981428.48
9,Branch,Kevin,38,Production,Humphreyfurt,2014-11-09,8488,1936,Oui,94,Projet C,0.25,3176,Produit Y,30,3,Freelance,Tristan Jackson MD,Standard,2934,13651,86294,22856,41012,85987,42636,92813,96825,92845,16805,43951,85710,541038.75,101856,106726,5.07,11,524.18,0.14,3.45,Expérimenté,Medium,False,1416611.86,2.58,Avec Remise,1285481295.4
10,Hughes,Manuel,34,Marketing,Port Anthonyton,2021-08-02,2948,1537,Non,96,Projet A,0.22,4898,Produit Z,31,5,CDD,Kayla Davis,Standard,7040,43899,12667,962,57469,45724,55400,17102,11376,8621,72979,51672,54328,337115.22,35376,43953,7.67,4,294.52,0.13,8.5,Professionnel confirmé,Medium,False,1221640.62,0.87,Avec Remise,1286715697.35
